occupation,category,code,soccupation
Postsecondary Teachers,"Education, Training, and Library Occupations",2200,Postsecondary Teachers
Preschool and Kindergarten Teachers,"Education, Training, and Library Occupations",2300,Preschool and Kindergarten Teachers
Elementary and Middle School Teachers,"Education, Training, and Library Occupations",2310,Elementary and Middle School Teachers
Secondary School Teachers,"Education, Training, and Library Occupations",2320,Secondary School Teachers
Special Education Teachers,"Education, Training, and Library Occupations",2330,Special Education Teachers
Other Teachers and Instructors,"Education, Training, and Library Occupations",2340,Other Teachers and Instructors
"Archivists, Curators, and Museum Technicians","Education, Training, and Library Occupations",2400,"Archivists, Curators, and Museum Technicians"
Librarians,"Education, Training, and Library Occupations",2430,Librarians
Library Technicians,"Education, Training, and Library Occupations",2440,Library Technicians
Teacher Assistants,"Education, Training, and Library Occupations",2540,Teacher Assistants
"Other Education, Training, and Library Workers","Education, Training, and Library Occupations",2550,"Other Education, Training, and Library Workers"
Artists and Related Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",2600,Artists and Related Workers
Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",2630,Designers
Actors,"Arts, Design, Entertainment, Sports, and Media Occupations",2700,Actors
Producers and Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",2710,Producers and Directors
"Athletes, Coaches, Umpires, and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations",2720,"Athletes, Coaches, and Umpires"
Dancers and Choreographers,"Arts, Design, Entertainment, Sports, and Media Occupations",2740,Dancers and Choreographers
"Musicians, Singers, and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations",2750,Musicians and Singers
"Entertainers and Performers, Sports and Related Workers, All Other","Arts, Design, Entertainment, Sports, and Media Occupations",2760,Entertainers and Performers
Announcers,"Arts, Design, Entertainment, Sports, and Media Occupations",2800,Announcers
"News Analysts, Reporters and Correspondents","Arts, Design, Entertainment, Sports, and Media Occupations",2810,"News Analysts, Reporters and Correspondents"
Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media Occupations",2825,Public Relations Specialists
Editors,"Arts, Design, Entertainment, Sports, and Media Occupations",2830,Editors
Technical Writers,"Arts, Design, Entertainment, Sports, and Media Occupations",2840,Technical Writers
Writers and Authors,"Arts, Design, Entertainment, Sports, and Media Occupations",2850,Writers and Authors
Miscellaneous Media and Communication Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",2860,Miscellaneous Media and Communication Workers
"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other","Arts, Design, Entertainment, Sports, and Media Occupations",2900,Broadcast and Sound Engineering Technicians
Photographers,"Arts, Design, Entertainment, Sports, and Media Occupations",2910,Photographers
"Television, Video, and Motion Picture Camera Operators and Editors","Arts, Design, Entertainment, Sports, and Media Occupations",2920,"Television, Video, and Motion Picture Camera Operators and Editors"
Chiropractors,Healthcare Practitioners and Technical Occupations,3000,Chiropractors
Dentists,Healthcare Practitioners and Technical Occupations,3010,Dentists
Dieticians and Nutritionists,Healthcare Practitioners and Technical Occupations,3030,Dieticians and Nutritionists
Optometrists,Healthcare Practitioners and Technical Occupations,3040,Optometrists
Pharmacists,Healthcare Practitioners and Technical Occupations,3050,Pharmacists
Physicians and Surgeons,Healthcare Practitioners and Technical Occupations,3060,Physicians and Surgeons
Physician Assistants,Healthcare Practitioners and Technical Occupations,3110,Physician Assistants
Podiatrists,Healthcare Practitioners and Technical Occupations,3120,Podiatrists
Registered Nurses,Healthcare Practitioners and Technical Occupations,3255,Registered Nurses
Nurse Anesthetists,Healthcare Practitioners and Technical Occupations,3256,Nurse Anesthetists
"Nurse Practitioners, and Nurse Midwives",Healthcare Practitioners and Technical Occupations,3258,Nurse Practitioners and Nurse Midwives
Audiologists,Healthcare Practitioners and Technical Occupations,3140,Audiologists
Occupational Therapists,Healthcare Practitioners and Technical Occupations,3150,Occupational Therapists
Physical Therapists,Healthcare Practitioners and Technical Occupations,3160,Physical Therapists
Radiation Therapists,Healthcare Practitioners and Technical Occupations,3200,Radiation Therapists
Recreational Therapists,Healthcare Practitioners and Technical Occupations,3210,Recreational Therapists
Respiratory Therapists,Healthcare Practitioners and Technical Occupations,3220,Respiratory Therapists
Speech Language Pathologists,Healthcare Practitioners and Technical Occupations,3230,Speech Language Pathologists
"Other Therapists, Including Exercise Physiologists",Healthcare Practitioners and Technical Occupations,3245,"Other Therapists, Including Exercise Physiologists"
Veterinarians,Healthcare Practitioners and Technical Occupations,3250,Veterinarians
"Health Diagnosing and Treating Practitioners, All Other",Healthcare Practitioners and Technical Occupations,3260,Other Health Diagnosing and Treating Practitioners
Clinical Laboratory Technologists and Technicians,Healthcare Practitioners and Technical Occupations,3300,Clinical Laboratory Technologists and Technicians
Dental Hygienists,Healthcare Practitioners and Technical Occupations,3310,Dental Hygienists
Diagnostic Related Technologists and Technicians,Healthcare Practitioners and Technical Occupations,3320,Diagnostic Related Technologists and Technicians
Emergency Medical Technicians and Paramedics,Healthcare Practitioners and Technical Occupations,3400,Emergency Medical Technicians and Paramedics
Health Practitioner Support Technologists and Technicians,Healthcare Practitioners and Technical Occupations,3420,Health Practitioner Support Technologists and Technicians
Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical Occupations,3500,Licensed Practical and Licensed Vocational Nurses
Medical Records and Health Information Technicians,Healthcare Practitioners and Technical Occupations,3510,Medical Records and Health Information Technicians
"Opticians, Dispensing",Healthcare Practitioners and Technical Occupations,3520,Dispensing Opticians
Miscellaneous Health Technologists and Technicians,Healthcare Practitioners and Technical Occupations,3535,Miscellaneous Health Technologists and Technicians
Other Healthcare Practitioners and Technical Occupations,Healthcare Practitioners and Technical Occupations,3540,Other Health-care Practitioners and Technical Occupations
"Nursing, Psychiatric, and Home Health Aides",Healthcare Support Occupations,3600,"Nursing, Psychiatric, and Home Health Aides"
Occupational Therapy Assistants and Aides,Healthcare Support Occupations,3610,Occupational Therapy Assistants and Aides
Physical Therapist Assistants and Aides,Healthcare Support Occupations,3620,Physical Therapist Assistants and Aides
Massage Therapists,Healthcare Support Occupations,3630,Massage Therapists
Dental Assistants,Healthcare Support Occupations,3640,Dental Assistants
Medical Assistants,Healthcare Support Occupations,3645,Medical Assistants
Medical Transcriptionists,Healthcare Support Occupations,3646,Medical Transcriptionists
Pharmacy Aides,Healthcare Support Occupations,3647,Pharmacy Aides
Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support Occupations,3648,Veterinary Assistants and Laboratory Animal Caretakers
Phlebotmists,Healthcare Support Occupations,3649,Phlebotomists
"Healthcare Support Workers, All Other, Including Medical Equipment Preparers",Healthcare Support Occupations,3655,Other Health-care Support Workers
First-Line Supervisors of Correctional Officers,Protective Service Occupations,3700,Correctional Officer Supervisors
First-Line Supervisors of Police and Detectives,Protective Service Occupations,3710,Police and Detective Supervisors
First-Line Supervisors of Fire Fighting and Prevention Workers,Protective Service Occupations,3720,Fire Fighting and Prevention Worker Supervisors
"Supervisors, Protective Service Workers, All Other",Protective Service Occupations,3730,Other Protective Service Worker Supervisors
Firefighters,Protective Service Occupations,3740,Firefighters
Fire Inspectors,Protective Service Occupations,3750,Fire Inspectors
"Bailiffs, Correctional Officers, and Jailers",Protective Service Occupations,3800,"Bailiffs, Correctional Officers, and Jailers"
Detectives and Criminal Investigators,Protective Service Occupations,3820,Detectives and Criminal Investigators
Miscellaneous law enforcement workers,Protective Service Occupations,3840,Miscellaneous Law Enforcement Workers
Police Officers,Protective Service Occupations,3850,Police Officers
Animal Control Workers,Protective Service Occupations,3900,Animal Control Workers
Private Detectives and Investigators,Protective Service Occupations,3910,Private Detectives and Investigators
Security Guards and Gaming Surveillance Officers,Protective Service Occupations,3930,Security Guards and Gaming Surveillance Officers
Crossing Guards,Protective Service Occupations,3940,Crossing Guards
Transportation Security Screeners,Protective Service Occupations,3945,Transportation Security Screeners
"Lifeguards and Other Recreational, and All Other Protective Service Workers",Protective Service Occupations,3955,Lifeguards and Other Recreational Workers
Chefs and Head Cooks,Food Preparation and Serving Occupations,4000,Chefs and Head Cooks
First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Occupations,4010,Food Preparation and Serving Supervisors
Cooks,Food Preparation and Serving Occupations,4020,Cooks
Food Preparation Workers,Food Preparation and Serving Occupations,4030,Food Preparation Workers
Bartenders,Food Preparation and Serving Occupations,4040,Bartenders
"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving Occupations,4050,"Combined Food Preparation and Serving Workers, Including Fast Food"
"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",Food Preparation and Serving Occupations,4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop"
Waiters and Waitresses,Food Preparation and Serving Occupations,4110,Waiters and Waitresses
"Food Servers, Nonrestaurant",Food Preparation and Serving Occupations,4120,Nonrestaurant Food Servers
Miscellaneous food preparation and serving related workers including dining room and cafeteria attendants and bartender helpers,Food Preparation and Serving Occupations,4130,Cafeteria Attendants and Bartender Helpers
Dishwashers,Food Preparation and Serving Occupations,4140,Dishwashers
"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Occupations,4150,Hosts and Hostesses
First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance Occupations,4200,Housekeeping and Janitorial Supervisors
